"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"Upp1",29.2490408698257,6.00987318651431,6.56003209737721e-07,2.41988756834803e-05,175.759029408769
"Phf11a",18.5059856014771,5.95998309939007,1.01569498273073e-06,3.60666643634149e-05,111.628963273767
"Fgl2",27.9731821408262,5.81851173118777,3.86569769413762e-08,1.88304081908665e-06,170.117478970462
"Ccl12",7.53815411678365,5.74149131383033,3.57569864245963e-06,0.000110454203187198,45.9332146746439
"Ccl7",15.2397833948478,5.72324521417404,3.59991766565761e-06,0.000110752122839401,90.4137891174748
"Gm14446",80.4570762140236,5.71505181959282,4.89379274250883e-13,4.89314882241113e-11,488.800553223746
"I830012O16Rik",40.9027458148877,5.55595529767411,7.59182109234271e-11,5.44247627176531e-09,248.875308073948
"Serpina3f",25.913086608774,5.34148789820269,9.18302272153906e-06,0.000263327508154624,156.267965250056
"Enpp4",6.72374968584297,5.23586697248665,2.05596150906342e-05,0.000515618861629469,40.5514720329719
"Cxcl9",36.0130251590739,5.22640975015949,1.18939667778106e-09,7.28889141488571e-08,219.883349585852
"Ddx60",10.854492631969,5.14732674730508,2.62653507096999e-05,0.000635638216697483,65.5980883040506
"Papd7",22.6729374223795,5.11584672863981,1.96998578232711e-05,0.000498997398663457,137.275920511042
"Igtp",67.7681877076215,5.09501108687486,4.94972816458982e-12,4.088367861165e-10,409.961772848684
"Oas2",30.6432423069105,4.85703968074301,3.14738780067659e-06,9.84238678902938e-05,185.580959500607
"Oasl1",268.424338323174,4.83463235170879,6.9598798251357e-39,3.77772334222901e-36,1606.36657815416
"Cmpk2",612.794170088117,4.79779599867515,1.1685087030755e-77,1.77589952693414e-74,3685.9644637656
"Cxcl10",1105.1431896348,4.73408353644628,1.63015795373229e-82,3.09689257260291e-79,6628.44419687083
"Ifit3",305.479609463459,4.60911183865137,9.24295642474912e-48,6.38520235196987e-45,1852.88451348172
"Gbp4",48.8353316660619,4.59572465473733,8.42706544293257e-08,3.90471160371004e-06,295.345404472686
"Ifit1",626.240877904207,4.54320750549229,3.2831251409543e-83,1.24742339730559e-79,3766.92042554447
"Nt5c3",69.2063143895764,4.43881927588652,2.48009514165172e-13,2.51283239752152e-11,417.874264076262
"1600014C10Rik",29.4845724823895,4.28832358639014,7.11263578766486e-07,2.61105890581958e-05,178.472776332762
"Ifit2",398.839837919758,4.21957080424944,2.44497554651904e-50,2.06437435311091e-47,2405.00336562989
"Ifi203",93.3582036899325,4.16270019024775,9.04717421682762e-19,1.63689230651603e-16,566.059222314436
"Tpst1",27.6099222803456,4.13332049252516,1.23214538811949e-06,4.29498752491742e-05,167.352278580793
"Irgm1",125.433385159404,4.10890160462745,7.88632724915336e-23,1.76259414018578e-20,756.87913761965
"Rsad2",1352.78292763407,4.09112838786404,3.44155273264139e-97,2.61523592153419e-93,8132.92134749152
"Serpina3g",175.810451749824,3.95231783587305,3.68220001732815e-25,9.99322783274165e-23,1065.87365162426
"Rgcc",19.4390126973952,3.94684628296541,2.01731057787459e-09,1.18833667296659e-07,117.536086998143
"Tnfsf15",157.66487887193,3.94044122015826,5.2908553447388e-17,7.58588863484342e-15,936.635241318123
"Ifih1",191.50630208682,3.93576087483303,1.30098272753748e-33,5.81539279209252e-31,1151.25677141924
"Pyhin1",169.669995519362,3.90727032950541,7.22211973166341e-31,2.74404439204551e-28,1024.27159743739
"Ifnb1",29.0210422743647,3.90669324911715,7.50435626479659e-06,0.000217654974260264,173.78863219314
"Zbp1",52.6181271393127,3.8938477926924,6.46325214650233e-09,3.55900384501966e-07,317.373851458655
"Isg20",37.4754632251764,3.87390232786499,1.38934654438274e-08,7.0643108986875e-07,225.910308748437
"Cxcl11",13.0537417843211,3.85992168406254,2.48257076729592e-05,0.000606593416742178,79.0082405340269
"Socs1",34.5638196963332,3.83014405644623,3.14859373033012e-07,1.30744064244692e-05,209.832490952829
"Gbp5",68.1836087097243,3.81984281944823,6.69628127799869e-10,4.24042011929267e-08,409.433642764095
"Gm12250",26.3975137355506,3.79562126292219,1.2141901892521e-05,0.000331997028768936,159.181574983984
"Cd69",88.8005771944781,3.72626783455598,1.02797674172542e-16,1.39492772506633e-14,533.882265237596
"Il15ra",68.5427523735177,3.72317847804599,7.17330604361034e-17,9.91090047734454e-15,414.053820303657
"Mx2",73.9161426012882,3.7093523533762,7.41366287266257e-16,9.08652002731659e-14,445.508432715434
"Oasl2",197.215912889078,3.65106528724682,1.98095251398823e-28,6.84239006990751e-26,1187.0399772584
"Sp140",17.3121212143718,3.61281868350997,3.29776347173962e-05,0.000771067834515366,104.166239334783
"Rtp4",110.193432522615,3.60644982147221,2.86826981830242e-20,5.44899558732002e-18,666.40895708554
"Mx1",648.317408543174,3.59664769183885,1.35613813535349e-82,3.09689257260291e-79,3915.60366714834
"Gbp3",116.481315804691,3.57911199332653,2.14490741454315e-17,3.13445220059874e-15,700.85021275422
"Herc6",49.1258737573922,3.57448676631353,4.0659717290584e-10,2.64079651018075e-08,296.57230392019
"Iigp1",52.5197023533452,3.54539753758377,1.63840869487272e-12,1.53707008300467e-10,317.50194588895
"Fam26f",91.8467411116042,3.50940603950305,1.78064267548816e-17,2.65315758647735e-15,550.815185056428
"Hopx",33.2447640020179,3.49808321751917,6.71154727735563e-13,6.62351269618512e-11,200.283698896951
"Ms4a4c",50.3939320382047,3.49188530141071,1.33255055483029e-06,4.60275075734335e-05,303.447417927617
"Ccl2",57.4585091872042,3.4404963642511,1.0344836837016e-08,5.4214079396196e-07,342.012398172354
"Ifi47",212.316007456484,3.40047173456018,1.86991177656546e-35,9.4729730600806e-33,1281.87085049601
"Cd86",42.7277814181171,3.39390263145086,1.11919042359285e-10,7.87474817489077e-09,257.028010761295
"Gbp2",387.545748452688,3.37730190273613,5.35651341410216e-52,5.08801817922029e-49,2339.08149667131
"Irf7",208.618178913555,3.3382250635853,6.62634729843045e-31,2.65019016425121e-28,1258.84762937903
"Phf11d",24.3698290017227,3.26997412856502,1.48969429646862e-06,4.96767524973399e-05,147.258339354566
"Ifi205",61.2322208815331,3.25808203016785,2.13089556364789e-09,1.24559041447387e-07,368.237445343618
"Ddx58",87.3699923202816,3.20547173687826,8.31097300243721e-16,1.00246164834159e-13,528.797822628767
"Peli1",74.7172203856213,3.17543021816248,4.8206403964193e-16,6.31587006420521e-14,447.8251924532
"Gbp7",58.7191306391005,3.17440356517494,9.83957188691985e-14,1.02425899683156e-11,355.120230806981
"Ccl4",1750.90601369452,3.16951130977552,6.68662165882398e-64,7.2588054264862e-61,10462.4402964556
"Sp110",90.5129819807483,3.15974917355968,2.12547311022093e-18,3.43648301373805e-16,547.446641411839
"Parp14",171.314526602148,3.14209167318096,4.31426889163504e-28,1.42539692641455e-25,1036.22220859965
"Phf11b",60.6885895179671,3.13659795015914,2.29915108261626e-11,1.71286755654911e-09,366.035971505897
"Oas3",55.4281227034024,3.13161236627726,1.47697743222782e-10,1.02032286431811e-08,335.149166490165
"Helz2",80.4665251544061,3.1016679588258,3.95730435331454e-12,3.3788264922289e-10,485.113565297918
"Daxx",43.7570645345869,3.03616286277984,6.76747686825962e-09,3.69971631092841e-07,264.884567684218
"Irg1",604.189760731596,3.01161059948497,4.54872262088548e-70,5.76095719935146e-67,3643.52259088095
"Tap1",82.421525963935,2.97189284800071,5.59400416378151e-14,5.987160231067e-12,497.850660391509
"Mthfr",59.5631211074529,2.96807879956672,1.77016744317096e-14,1.97816211774355e-12,360.981361136498
"Trim30a",150.987395729334,2.94146537415863,4.26947686896982e-27,1.24783672028083e-24,912.992160559241
"Fcgr1",47.1283665587265,2.92433711233072,1.33278405550807e-11,1.02301273109149e-09,286.74410616282
"Usp18",111.899697213075,2.91845967797542,1.53493941025178e-19,2.84487916548861e-17,674.572660587378
"Lap3",62.4033611286879,2.88310309762666,8.56986131669898e-12,6.92791235591442e-10,376.47178379618
"Parp12",73.1623245689043,2.88259335658117,1.81752511818028e-12,1.66402088831951e-10,442.272692563522
"Pnp",364.520643340197,2.85466103220846,2.32350900132809e-44,1.47136207509101e-41,2204.48384935312
"Trim30d",70.1526742951964,2.83974054596924,1.81065994171158e-12,1.66402088831951e-10,423.935574786717
"Plekhf2",29.035594025786,2.83019786701332,1.02732151402535e-08,5.4214079396196e-07,176.550093485634
